time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-26T20:00:19.253Z,32.319,142.4366,16.325,4.9,mb,177,67,2.349,0.48,us,us7000islk,2023-02-05T23:24:07.040Z,"Izu Islands, Japan region",earthquake,8.6,3.675,0.046,150,reviewed,us,us
2022-11-26T17:45:57.803Z,32.3385,142.4293,16.212,4.9,mb,110,86,2.337,0.5,us,us7000isl1,2023-02-05T23:24:04.040Z,"Izu Islands, Japan region",earthquake,8.76,3.58,0.042,183,reviewed,us,us
2022-11-26T15:17:35.911Z,31.1686,138.8565,303.878,4.5,mb,77,88,2.104,0.82,us,us7000iski,2023-02-05T23:24:02.040Z,"Izu Islands, Japan region",earthquake,8.54,5.683,0.043,157,reviewed,us,us
2022-11-26T12:58:11.806Z,37.5496,137.2199,8.813,4.5,mb,37,90,1.274,0.38,us,us6000j62c,2023-02-05T23:24:01.040Z,"59 km NNE of Nanao, Japan",earthquake,5.11,4.077,0.163,18,reviewed,us,us
2022-11-25T17:01:50.763Z,36.1311,141.6532,35.451,4.5,mb,23,151,2.811,0.82,us,us6000j5tq,2023-01-30T06:01:50.040Z,"86 km ENE of Hasaki, Japan",earthquake,4.44,9.741,0.156,14,reviewed,us,us
2022-11-25T07:04:30.161Z,34.3407,137.4653,319.813,4.5,mb,111,61,0.681,0.65,us,us7000is9w,2023-01-30T06:01:43.040Z,"40 km SSE of Tahara, Japan",earthquake,6.97,6.426,0.06,81,reviewed,us,us
2022-11-23T19:34:30.209Z,35.7371,140.2665,65.241,4.5,mb,60,126,1.849,0.72,us,us7000irvx,2023-01-30T06:01:19.040Z,"2 km N of Shisui, Japan",earthquake,6.77,5.963,0.084,42,reviewed,us,us
2022-11-23T16:52:26.536Z,33.7349,141.3584,32.339,5.2,mww,139,32,1.432,0.51,us,us7000irv5,2023-01-30T06:01:17.040Z,"off the east coast of Honshu, Japan",earthquake,7.65,4.043,0.065,23,reviewed,us,us
2022-11-23T04:54:23.090Z,31.4273,138.6185,10,4.5,mb,32,132,1.954,0.7,us,us7000irqz,2023-01-30T06:01:07.040Z,"Izu Islands, Japan region",earthquake,9.05,1.907,0.135,16,reviewed,us,us
2022-11-22T16:06:39.911Z,31.4749,138.535,10,4.6,mb,30,151,1.951,1.09,us,us7000irj8,2023-01-30T06:00:58.040Z,"Izu Islands, Japan region",earthquake,4.41,1.91,0.152,14,reviewed,us,us
